Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Notes,Image links
AVF-115,2014,E-One Cyclone II,2000_/_1000_/_250F,Engine Co. 10 (? - present),,,O’Hare airport - purchased by aviation dept.,Engine 10 (Gordon J. Nord)
AVF-129,2007,Pierce Dash 100’ tower ladder,500 halon,Tower Co. 63 (3-4/2008 - present),,,O’Hare airport - purchased by aviation dept.,Tower Ladder 63 (Gordon J. Nord)
AVF-130,2011,Ford F-450/Tempest,,9 - 2 - 4 Mobile Ventilation Unit (before 9/6/2011 - present),,,O’Hare airport - purchased by aviation dept.,9-2-4 (Gordon J. Nord)
AVF-505,1994,Oshkosh T-3000,1800/3000/410,Crash Truck 6 (6 - 5 - 6),Spare crash truck 6 - 5 - 6 S,6 - 5 - 14?,O’Hare airport; originally G-???; roof beacons replaced by LEDs; still in service 10/11/2014,
AVF-632,2000,Ford F-450/Stinar Corp 19’ Mobile Stairway,,6 - 3 - 5 Mobile Staircase Unit,,,O’Hare airport - purchased by aviation dept.; beacons replaced with LED lights sometime in 2013 or 2014,6-3-5 (Gordon J. Nord) 6-3-5 (Dave Traiforos)
AVF-633,,,,,,,,
AVF-634,2000,Ford F-450/Stinar Corp 19’ Mobile Stairway,,6 - 3 - 4 Mobile Staircase Unit,,,Midway airport - purchased by aviation dept.,6-3-4 (David Traiforos)
AVF-635,,,,,,,,
AVF-636,,,,,,,,
AVF-637,2009,Ford E-450/Supreme,,5 - 7 - 3 Rehab Unit,,,O’Hare airport - purchased by aviation dept.,5-7-3 (Gordon J. Nord)
AVF-650,2006,Oshkosh Striker 3000 ,1950/3000/420/500/500,Crash Truck 2 (6 - 5 - 2) (? - present),,,Midway airport - purchased by aviation dept.,6-5-2 (Bill Friedrich)
AVF-651,,,,,,,,
AVF-652,,,,,,,,
AVF-653,1992,Oshkosh T-12,1800/3000/410,Crash Truck 3 (6 - 5 - 3) (? - present),,,O’Hare airport; originally G-497,
AVF-654,1980,Oshkosh T-6,1500/1585/205LW,Crash Truck 4 (6 - 5 - 4) (12/19/1980 - 3/15/1997),Crash Truck 9 (6 - 5 - 9) (11/19/2008 - pre-August 2013),Crash Truck 65T (? - present),"O’Hare airport; originally G-451; as 65T, assigned to training at burn pit",6-5-4 (Bill Friedrich)
AVF-655,,,,,,,,
AVF-656,1994,Oshkosh T-12,1500/3000/410F,Crash Truck 6 (6 - 5 - 6),,,O’Hare airport; originally G-???; has Snozzle; possibly 6-5-5 first,6-5-5 (Bill Friedrich) 6-5-6 (Bill Friedrich)
AVF-657,1982,Oshkosh T-12,1800/3170/410LW,Crash Truck 8 (6 - 5 - 8) (5/3/1982 - 1988?),Crash Truck 7 (6 - 5 - 7),6 - 5 - 7R?,O’Hare airport; originally G-470,
AVF-661,2000,Pierce Lance Heavy Duty Rescue,,Squad 7 (11-12/2000 - present),,,O’Hare airport; refurbished in 2015 by Fire Service Inc. and back in service late September,Squad 7 (post-refurb) (Gordon J. Nord)
AVF-662,2000,Oshkosh TI-3000,1950/3000/420/500,Crash Truck 5 (6 - 5 - 5) (3-4/2001 - 9/2014),6 - 5 - 13 (? - present),,O’Hare airport - purchased by aviation dept.; first seen as 6-5-13 on 11/14/2015,6-5-5 (Bill Friedrich) 6-5-5 (David Traiforos) 6-5-13 (Gordon J. Nord)
AVF-663,2001,Oshkosh Rhino T1-3000,3000/420/500 Purple K,Crash Truck 7 (6 - 5 - 7),6-5-7R?,6-5-10? (? - 9/2014),O’Hare airport - purchased by aviation dept.,6-5-7 (Bill Friedrich)
AVF-664,,,,,,,,
AVF-665,2004,Oshkosh Striker 3000,1950/3000/420,Crash Truck 8 (6 - 5 - 8),,,O’Hare airport - purchased by aviation dept.,6-5-8 (Gordon J. Nord)
AVF-666,2010,Oshkosh Striker 3000,1950/3000/420/500/500,Crash Truck 6 (6 - 5 - 6) (11/2010 - 2015?),Crash Truck 11 (6 - 5 -11) (2015? - present),,O’Hare airport - purchased by aviation dept.; has snozzle; first seen as 6-5-11 on 6/24/2015,
AVF-669,2010,Oshkosh Striker 3000,1950/3000/420/500/500,Crash Truck 7 (6 - 5 - 7) (11/2010? - present),,,O’Hare airport - purchased by aviation dept.,
AVF-671,2014,Oshkosh Striker 8x8,1950/4500/540,Crash Truck 5 (6 - 5 - 5) (9/2014 - present),,,O’Hare airport - purchased by aviation dept.; has snozzle,6-5-5 (Gordon J. Nord)
AVF-672,2014,Oshkosh Striker 8x8,1950/4500/540,Crash Truck 10 (6 - 5 - 10) (9/2014 - present),,,O’Hare airport - purchased by aviation dept.; has snozzle,6-5-10 (Gordon J. Nord)
AVF-701,2010,Oshkosh Striker 3000,1950/3000/420/500/500,Crash Truck 1 (6 - 5 - 1) (? - present),,,Midway airport - purchased by aviation dept.; has snozzle,6-5-1 (Bill Friedrich)
AVF-?,2002,Blue Bird bus,,Mass Casualty 8 - 8 - 1 (? - 12/1/2015),Mass Casualty 8 - 8 - 20 (12/1/2015 - present),,O’Hare airport - purchased by aviation dept.; purchased used; renumbering only,8-8-1A support trailer (Gordon J. Nord)
AVF-886,1997,GMC/Supreme/CFD,,8 - 8 - 6 Emergency Response Unit (Triage Van),,,Midway airport - purchased by aviation dept.; has green strobes on passenger side,8-8-6 (Smith Bros) 8-8-6 (Bill Friedrich)
