Shop #,Year,Make & Model,GPM/Gal/F/#,Original Assignment,Second Assignment,Third Assignment,Fourth Assignment,Fifth Assignment,Sixth Assignment,Seventh Assignment,Additional assignments (in order) and notes,Image links
D-23,1921,Ahrens-Fox,750 / 0,Engine Co. 23 (12/22/1921 - 4/22/1932),Engine Co. 115 (9/1/1932 - 7/29/1953),,,,,,First motorized apparatus for Engine 23,
D-24,1922,Ahrens-Fox,750 / 0,Engine Co. 24 (7/1922 - 10/13/1949),,Engine Co. 105 (12/29/1952 - 12/17/1953),,,,,First motorized apparatus for Engine 24,
D-25,1922,Ahrens-Fox,750 / 0,Engine Co. 25 (2/7/1923 - 2/1/1947),Engine Co. 85 (2/19/1947 - 5/18/1951),,Engine Co. 115 (3/30/1954 - 8/3/1954),,,,,
D-26,1922,Ahrens-Fox,750 / 0,Engine Co. 26 (7/14/1922 - 4/14/1949),,Lakefront Co. (6/19/1950 - 9/5/1950),Engine Co. 65 (1/16/1951 - 5/18/1951),,,,Spent summer 1950 at Chicagoland Fair,
D-27,1921,Ahrens-Fox,750 / 0,Engine Co. 27 (1/10/1922 - 2/9/1949),,,,,,,,
D-28,1919,Ahrens-Fox,750 / 0,Engine Co. 28 (3/1919 - 7/30/1928),Engine Co. 121 (8/6/1928 - 4/22/1932),Engine Co. 93 (4/22/1932 - 5/10/1949),,,,,4-cylinder; First motorized apparatus for Engine 28,
D-29,1921,Seagrave,750 / 0,Engine Co. 29 (11/1921 - 11/28/1952),Engine Co. 2 (9/3/1953 - 12/30/1953),,,,,,,
D-30,1921,Seagrave,750 / 0,Engine Co. 30 (11/30/1921 - 5/25/1950),Engine Co. 49 (6/1/1950 - 12/28/1953),Engine Co. 81 (2/14/1954 - 7/14/1954),,,,,,
D-31,1922,Ahrens-Fox,750 / 0,Engine Co. 31 (7/12/1922 - 3/28/1949),Engine Co. 127 (3/16/1950 - 7/30/1954),,,,,,,
D-32,1915,Seagrave,1000 / 0,Engine Co. 78 (11/1915 - 4/1919),Engine Co. 32 (4/7/1919 - 1924),Engine Co. 2 (6/1/1925 - 5/10/1931),Engine Co. 53 (11/6/1931 - 5/19/1934),,,,First motorized apparatus for Engine 32; destroyed in Union Stockyards Fire of 5/19/1934,Engine 2 (Bill Friedrich) Engine 2 (Bill Friedrich)
D-33,1920,Seagrave,750 / 0,Engine Co. 33 (8/1920 - 1/8/1949),,,,,,,First motorized apparatus for Engine 33,
D-34,1921,Seagrave,750 / 0,Engine Co. 34 (12/7/1921 - 8/29/1931),Engine Co. 99 (9/1/1931 - 7/13/1954),,,,,,,
D-35,1921,Ahrens-Fox,750 / 0,Engine Co. 35 (11/30/1921 - 12/26/1946),,,,,,,,
D-36,1922,Seagrave,750 / 0,Engine Co. 36 (1/1923 - 9/9/1930),Engine Co. 89 (9/11/1930 - 2/21/1949),,,,,,First motorized apparatus for Engine 36; destroyed in accident 2/21/1949,
D-37,1923,Ahrens-Fox,750 / 0,Engine Co. 63 (4/5/1923 - 2/13/1941),Engine Co. 47 (2/13/1941 - 7/29/1954),,,,,,,
D-38,1922,Seagrave,750 / 0,Engine Co. 38 (5/10/1922 - 5/18/1951),Drill School Training (5/25/1951 - 12/11/1951),Engine Co. 7,,,,,,
D-39,1922,Ahrens-Fox,750 / 0,Engine Co. 39 (6/30/1922 - 7/9/1954),,,,,,,,Engine 39 (Bill Friedrich)
D-40,1921,Ahrens-Fox,750 / 0,Engine Co. 40 (2/20/1921 - 5/10/1923),Engine Co. 93 (5/10/1923 - 9/16/1925),Engine Co. 32 (6/1/1925 - 7/1928),Engine Co. 28 (7/30/1928 - 1/14/1949),Engine Co. 25 (1/15/1949 - 2/18/1949),Engine Co. 65 (8/1/1949 - 1/16/1951),,Engine Co. 1 may have used this rig at some point; Engine 93 OOS 9/16/1925,
D-41,1923,Ahrens-Fox,750 / 0,Engine Co. 54 (4/24/1923 - 12/18/1952),Engine Co. 73 (1/29/1953 - 2/6/1954),,,,,,,
D-42,1921,Seagrave,750 / 0,Engine Co. 14 (11/29/1921 - 1/14/1923),Engine Co. 42 (12/1921 - 7/12/1928),Engine Co. 112 (7/17/1928 - 7/26/1950),Engine Co. 48 (4/20/1952 - 4/17/1953),,,,*Conflict,
D-43,1917,Ahrens-Fox,750 / 0,Engine Co. 40 (10/1917 - 2/20/1921),Engine Co. 43 (2/20/1921 - 2/1/1923),Engine Co. 126 (2/5/1923 - 10/14/1952?),,,,,,
D-44,1920,Seagrave,750 / 0,Engine Co. 44 (8/26/1920 - 2/13/1929),Engine Co. 118 (10/30/1930 - 7/16/1931),Engine Co. 64 (7/20/1931 - 3/19/1946),,,,,First motorized apparatus for Engine 44; Engine 118 temporarily disbanded 7/16/1931,
D-45,1921,Ahrens-Fox,750 / 0,Engine Co. 45 (11/24/1921 - 3/30/1938),Engine Co. 121 (4/15/1941 - 5/9/1949),Engine Co. 93 (5/10/1949 - 1/19/1954),,,,,,Engine 45 (chicagofd.org)
D-46,1919,Ahrens-Fox,750 / 0,Engine Co. 46 (9/1919 - 5/20/1923),Engine Co. 69 (7/29/1927 - 10/16/1928),Engine Co. 101 (4/30/1932 - 7/28/1954),,,,,First motorized apparatus for Engine 46,
D-47,1922,Ahrens-Fox,750 / 0,Engine Co. 47 (6/1922 - 4/22/1932),Engine Co. 23 (4/22/1932 - 2/9/1954),,,,,,First motorized apparatus for Engine 47,
D-48,1920,Seagrave,750 / 0,Engine Co. 48 (9/1920 - 4/26/1949),,,,,,,,
D-49,1922,Seagrave,750 / 0,Engine Co. 49 (10/1922 - 4/6/1949),,,,,,,First motorized apparatus for Engine 49,
D-50,1921,Seagrave,750 / 0,Engine Co. 50 (12/1/1921 - 3/7/1949),Engine Co. 57 (4/15/1950 - 12/9/1950),,,,,,First motorized apparatus for Engine 50,
D-51,1921,Ahrens-Fox,750 / 0,Engine Co. 51 (2/1921 - 8/6/1928),Engine Co. 75 (11/27/1931 - 12/30/1946),,,,,,,
D-52,1917,Seagrave,750 / 0,Engine Co. 16 (9/1917 - 4/25/1921),Engine Co. 39 (6/8/1921 - 6/30/1922),Engine Co. 52 (6/30/1922 - 4/1923),Engine Co. 105 (3/18/1936 - 10/7/1936),Engine Co. 124 (7/18/1944 - 4/2/1945),,,,
D-53,1914,Seagrave,1000 / 0,Engine Co. 19 (12/1914 - 2/5/1919),Engine Co. 53 (2/5/1919 - 3/5/1929),Engine Co. 36 (9/9/1930 - 6/29/1934),Engine Co. 53 (1/11/1935 - 5/1/1942),,,,First motorized apparatus for Engine 19; first motorized apparatus for Engine 53,
D-54,1916,American LaFrance,750 / 0,Engine Co. 48 (10/1/1916 - 9/1920),Engine Co. 54 (1/4/1921 - 4/24/1923),Engine Co. 120 (5/1/1923 - 8/8/1929),Engine Co. 72 (?- 12/27/1935),,,,First motorized apparatus for Engine 54,
D-55,1921,Seagrave,750 / 0,Engine Co. 55 (12/4/1921 - 3/4/1949),Engine Co. 49 (4/6/1949 - 6/1/1950),,,,,,,
D-56,1922,Ahrens-Fox,750 / 0,Engine Co. 56 (6/6/1922 - 11/24/1953),,,,,,,First motorized apparatus for Engine 56; Still owned by CFD & in storage,
D-57,1922,Seagrave,750 / 0,Engine Co. 57 (5/1922 - 5/2/1927),Engine Co. 13 (5/2/1927 - 10/2/1928),Engine Co. 67 (10/3/1928 - 9/7/1948),Engine Co. 24 (10/13/1949 - 6/2/1950),Engine Co. 57 (8/7/1951 - 2/5/1954),,,,
D-58,1922,Ahrens-Fox,750 / 0,Engine Co. 52 (4/1923 - 12/18/1953),,,,,,,,
D-59,1921,Ahrens-Fox,750 / 0,Engine Co. 59 (3/14/1922 - 5/19/1934),Engine Co. 59 (9/7/1934 - 1/14/1949),Engine Co. 43 (8/7/1951 - 4/17/1953),,,,,Burned at Union Stockyards fire on 5/19/1934; rebuilt & returned from shops on 9/7/1934; privately owned in Wisconsin,Engine 59 (Bill Friedrich) Destroyed Engine 59 (Terry Spirek)
D-60,1923,Ahrens-Fox,750 / 0,Engine Co. 60 (2/5/1923 - 12/3/1953),,,,,,,,
D-61,1917,Seagrave,750 / 0,Engine Co. 55 (9/5/1917 - 12/4/1921),Engine Co. 61 (12/5/1921 - 4/27/1923),Engine Co. 101 (7/29/1929 - 4/20/1932),Engine Co. 62 (10/1/1935 - 2/11/1941),Engine Co. 130 (2/19/1942 - 8/14/1946),,,"First motorized apparatus for Engine 61; First & only apparatus for Engine 130, organized for duration of WWII at Navy Pier; carried 35’ extension ladder while at Engine 130",
D-62,1922,Seagrave,750 / 0,Engine Co. 62 (10/1922 - 4/22/1932),Engine Co. 96 (6/9/1932 - 7/7/1954),,,,,,,
D-63,1919,Ahrens-Fox,750 / 0,Engine Co. 63 (5/1919 - 4/5/1923),Engine Co. 82 (4/5/1923 - 5/27/1949),,,,,,4-cylinder,
D-64,1919,Seagrave,750 / 0,Engine Co. 13 (3/1919 - 9/1920),Engine Co. 64 (9/8/1920 - 7/20/1931),Engine Co. 81 (8/24/1931 - 4/1/1946),Engine Co. 72 (4/1/1946 - 2/22/1953),,,,,
D-65,1919,Mack AC,500 / 0,Engine Co. 29 (9/29/1919 - 11/1921),Engine Co. 65 (10/8/1921 - 4/23/1923),Engine Co. 110 (1/3/1925 - 4/1/1925),Engine Co. 89 (9/30/1929 - 1/9/1930),,,,First Mack “Bulldog” for CFD; first motorized apparatus for Engine 29; first motorized apparatus for Engine 65,
D-66,1921,Seagrave,750 / 0,Engine Co. 66 (12/5/1921 - 3/30/1954),,,,,,,First motorized apparatus for Engine 66,
D-67,1919,Seagrave,750 / 0,Engine Co. 95 (8/10/1919 - 6/1922),Engine Co. 67 (6/1922 - 10/3/1928),Engine Co. 118 (? - 10/30/1930),Engine Co. 114 (10/25/1932 - 12/29/1952),,,,,Engine 95 (Terry Spirek)
D-68,1922,Ahrens-Fox,750 / 0,Engine Co. 68 (5/22/1922 - 2/16/1949),Engine Co. 119 (3/1/1950 - 7/6/1954),,,,,,First motorized apparatus for Engine 68,
D-69,1919,Mack AC,650 / 0,Engine Co. 19 (2/5/1919 - 9/29/1919),Engine Co. 69 (5/11/1921 - 5/18/1923),Spare engine,,,,,First “bulldog” Mack purchased by CFD; only one with gas tank mounted between bench seat and hose box; seen as spare in 1928,
D-70,1919,Ahrens-Fox,750 / 0,Engine Co. 3 (3/1919 - 6/20/1922),Engine Co. 70 (6/20/1922 - 3/18/1929),Engine Co. 91 (5/7/1929 - 11/24/1953),,,,,4-cylinder,
D-71,1923,Ahrens-Fox,750 / 0,Engine Co. 7 (4/26/1923 - 12/31/1925),Engine Co. 10 (1/6/1926 - 5/21/1927),Engine Co. 7 (5/21/1927 - 8/29/1931),Engine Co. 6 (8/29/1931 - 4/2/1938),Engine Co. 118 (1/15/1947 - 1/20/1954),,,"Had whitewashed tires while at Engine 7, a standard practice in 1920s CFD to improve vehicle appearance; Engine 7 OOS 12/31/1925, reorganized 5/21/1927, and disbanded again 8/29/1931",Restored Engine 10 (Bill Friedrich)
D-72,1921,Mack AC,500 / 0,Engine Co. 72 (12/27/1921 - 5/29/1930),,,,,,,First motorized apparatus for Engine 72,
D-73,1922,Mack AC,500 / 0,Engine Co. 73 (3/1922 - 12/6/1928),Engine Co. 110 (11/9/1929 - 3/28/1930),,,,,,First motorized apparatus for Engine 73,
D-74,1922,Seagrave,750 / 0,Engine Co. 74 (12/27/1922 - 5/31/1952),,,,,,,,
D-75,1921,Mack AC,500 / 0,Engine Co. 74 (12/30/1921 - 12/1922),Engine Co. 75 (12/27/1922 - 11/27/1931),,,,,,First motorized apparatus for Engine 74; first motorized apparatus for Engine 75,
D-76,1922,Seagrave,750 / 0,Engine Co. 76 (1/1923 - 6/30/1954),Reserve engine,,,,,,"First motorized apparatus for Engine 76; stored at Engine 91’s house as a reserve and wrecked in house by unknown individual in September 1956, causing extensive structural damage to Engine 91’s quarters",
D-77,1922,Ahrens-Fox,750 / 0,Engine Co. 77 (1/1923 - 7/25/1950),,Engine Co. 114 (12/29/1952 - 12/4/1953),,,,,First motorized apparatus for Engine 77,
D-78,1921,Seagrave,750 / 0,Engine Co. 78 (11/28/1921 - 2/25/1949),,,,,,,,
D-79,1916,Seagrave,750 / 0,Engine Co. 104 (11/11/1916 - 3/5/1919),Engine Co. 1 (3/5/1919 - 4/26/1921),Engine Co. 79 (4/25/1921 - 1/5/1932),Engine Co. 93 (1/7/1932 - 4/22/1932),Engine Co. 47 (10/1/1935 - 2/13/1941),Engine Co. 53 (5/1/1942 - 11/8/1952),,,
D-80,1923,Ahrens-Fox,750 / 0,Engine Co. 61 (4/27/1923 - 1/11/1954),,,,,,,,
D-81,1922,Mack AC,500 / 0,Engine Co. 81 (3/20/1922 - 7/18/1928),Engine Co. 71 (7/17/1930 - 8/22/1931),,,,,,,
D-82,1916_/_1906,Christie/Metropolitan LaFrance,700 / 0,Engine Co. 82 (12/31/1916 - 4/5/1923),,,,,,,,
D-83,1921,Ahrens-Fox,750 / 0,Engine Co. 83 (5/31/1921 - 2/24/1949),,,,,,,,
D-84,1921,Ahrens-Fox,750 / 0,Engine Co. 84 (12/5/1921 - 1/10/1949),Engine Co. 125 (5/30/1949 - 12/2/1952),,,,,,,
D-85,1922,Mack AC,500 / 0,Engine Co. 85 (3/14/1922 - 10/24/1928),Engine Co. 110 (2/23/1929 - 11/5/1929),Engine Co. 72 (5/29/1930 - 3/24/1931),Drill School Training (11/11/1930 - 5/11/1949),,,,First motorized apparatus for Engine 85,
D-86,1922,Seagrave,750 / 0,Engine Co. 86 (12/1922 - 1/1/1932),Engine Co. 102 (1/6/1932 - 4/21/1949),Engine Co. 53 (12/29/1952 - 7/27/1954),,,,,First motorized apparatus for Engine 86 ; Engine 86 OOS 1/1/1932,
D-87,1922,Seagrave,750 / 0,Engine Co. 87 (5/1922 - 2/14/1951),Engine Co. 74 (5/31/1952 - 11/19/1953),,,,,,First motorized apparatus for Engine 87,
D-88,1921,Mack AC,500 / 0,Engine Co. 38 (12/30/1921 - 5/10/1922),Engine Co. 88 (5/22/1922 - 9/25/1931),,,,,,First motorized apparatus for Engine 88,
D-89,1920,Stutz,750 / 0,Engine Co. 101 (9/1920 - 3/20/1922),Engine Co. 89 (3/2/1922 - 7/15/1929),,,,,,4-cylinder; first apparatus for Engine 89,
D-90,1922,Ahrens-Fox,750 / 0,Engine Co. 90 (5/1922 - 1/1/1932),Engine Co. 117 (1/2/1932 - 4/21/1953),Engine Co. 107 (11/25/1953 - 12/1/1953),,,,,"Engine 90, located on Goose Island, OOS 1/1/1932; Restored & located in Slinger, Wisconsin",
D-91,1922,Mack AC,500 / 0,Engine Co. 91 (5/18/1922 - 5/7/1929,Light Wagon 1 (12/14/1929 - 6/24/1957),Light Wagon 4 (9/7/1957 - 1/28/1961),,,,,"First motorized apparatus for Engine 91; converted to Light Wagon at CFD shops in 1929; had five searchlights, one spotlight, 10k Kohler generator; seven portable lights, public address system",
D-92,1923,Ahrens-Fox,750 / 0,Engine Co. 40 (5/10/1923 - 7/25/1928),Engine Co. 98 (8/15/1928 - 5/19/1934),Engine Co. 98 (1/16/1935 - 3/15/1938),Engine Co. 70 (3/30/1938 - 7/23/1954),,,,Burned in 1934 Union Stockyards fire and rebuilt by CFD shops; stored at Engine 32 for many years after out of service,
D-93,1916_/_1912,Christie/Ahrens,700 / 0,Engine Co. 98 (8/9/1916 - 11/22/1916),Engine Co. 43 (11/22/1916 - 2/20/1921),Engine Co. 93 (1921 - 5/10/1923),,,,,First motorized apparatus for Engine 93 (concurrent with Doyle HW-W1),
D-94,1914,Seagrave,1000 / 0 ,Engine Co. 13 (12/1914 - 3/1919),Engine Co. 104 (3/5/1919 - 6/1922),Engine Co. 94 (7/1922 - 7/5/1923),Engine Co. 53 (3/5/1929 - 11/6/1931),,,,First iteration of Engine 94 OOS 7/5/1923,
D-95,1922,Ahrens-Fox,750 / 0,Engine Co. 95 (6/1922 - 1/11/1949),Lakefront Co. (6/23/1949 - 10/3/1949),Engine Co. 94 (3/30/1950 - 12/9/1953),,,,,Spent summer 1949 at Chicago Railroad Fair,
D-96,1919,Mack AC,500 / 0,Engine Co. 96 (12/1919 - 7/1923),High Pressure company (4/26/1928 - 7/10/1928),High Pressure 1 (7/10/1928 - 10/12/1956),,,,,First apparatus for Engine 96; converted to High Pressure by shops in 1928; had two turret guns as High Pressure 1; High Pressure company to High Pressure 1 name change only,
D-97,1916,American LaFrance,750 / 0,Engine Co. 40 (10/1916 - 10/6/1917),Engine Co. 62 (1/14/1918 - 10/1922),Engine Co. 97 (10/3/1922 - 9/7/1929),Engine Co. 71 (9/20/1929 - 7/17/1930),Engine Co. 113 (7/23/1930 - 7/14/1932),Drill School Training (2/11/1933 - 8/3/1933),Engine Co. 53 (6/29/1934 - 8/7/1934),Was spare engine in 1934; first motorized apparatus for Engine 97,
D-98,1921,Ahrens-Fox,750 / 0,Engine Co. 98 (11/18/1921 - 8/15/1928),Engine Co. 123 (10/25/1928 - 7/27/1954),,,,,,,Engine 98 (chicagofd.org) Engine 123 (Terry Spirek)
D-99,1922,Mack AC,500 / 0,Engine Co. 99 (3/1922 - 9/1/1931),Drill School Training (9/7/1931 - 7/5/1932),,,,,,,
D-100,1922,Seagrave,750 / 0,Engine Co. 100 (4/1922 - 10/14/1948),,,,,,,,
D-101,1922,Mack AC,500 / 0,Engine Co. 101 (3/20/1922 -5/12/1923),,Engine Co. 71 (7/16/1927 - 9/20/1929),Engine Co. 89 (1/9/1930 - 1/25/1930),,,,First apparatus for Engine 71 as a land company,
D-102,1915,Seagrave,750 / 0,Engine Co. 102 (11/1915 - 1/6/1932),Engine Co. 127 (1/5/1932 - 4/22/1932),Engine Co. 98 (5/19/1934 - 11/9/1934),Engine Co. 105 (11/1/1935 - 3/18/1936),Engine Co. 67 (9/7/1948 - 4/5/1949),,,Had overhead ladder rack during 1925; first apparatus for reorganized Engine 105,
D-103,1921,Seagrave,750 / 0,Engine Co. 103 (12/1/1921 - 4/9/1938),Engine Co. 105 (4/11/1938 - 12/29/1952),,,,,,,
D-104,1922,Ahrens-Fox,750 / 0,Engine Co. 104 (6/1922 - 7/16/1929),Engine Co. 15 (8/4/1929 - 1/1/1932),Engine Co. 110 (1/5/1932 - 7/27/1954),,,,,Engine 15 OOS 1/1/1932,
D-105,1922,Seagrave,750 / 0,Engine Co. 105 (4/1922 - 1/1/1932),Engine Co. 79 (1/5/1932 - 1/10/1949),,,,,,,
D-106,1922,Seagrave,750 / 0,Engine Co. 106 (1/1923 - 2/11/1949,Engine Co. 89 (2/21/1949 - 1/29/1954),,,,,,,
D-107,1921,Ahrens-Fox,750 / 0,Engine Co. 107 (12/1921 - 2/2/1945),Engine Co. 124 (4/2/1945 - 1/22/1954),,,,,,,
D-108,1921,Mack AC,500 / 0,Engine Co. 108 (12/27/1921 - 3/5/1930),,,,,,,,
D-109,1919,Seagrave,750 / 0,Engine Co. 34 (1919 - 12/1921),Engine Co. 109 (6/1/1921 - 8/29/1931),Engine Co. 88 (9/25/1931 - 4/29/1932),Engine Co. 98 (12/3/1934 - 1/16/1935),Engine Co. 24,Engine Co. 105 (10/7/1936 - 4/11/1938),,First motorized apparatus for Engine 34; first motorized apparatus for Engine 109,
D-110,1912,Webb,650 / 0,Engine Co. 102 (5/1912 - 11/1915),Engine Co. 110 (? - 1/3/1925),Engine Co. 127 (9/16/1925  - 7/19/1929),,,,,First motorized combination engine and hose wagon in CFD; First motorized apparatus for Engine 102,
D-111,1921,Mack AC,500 / 0,Engine Co. 111 (12/27/1921 - 11/1/1928),High Pressure 7 (12/26/1931 - 3/15/1932),,,,,,First motorized apparatus for Engine 111,
D-112,1923,Mack AC,500 / 0,Engine Co. 112 (5/18/1923 - 8/8/1923),Engine Co. 69 (5/18/1923 - 1/6/1926),Engine Co. 129 (1/6/1926 - 8/1/1927),Engine Co. 94 (8/1/1927 - 9/17/1929),Engine Co. 89 (1/25/1930 - 9/11/1930),Engine Co. 112 (11/19/1949 - 6/29/1950),,First apparatus for Engine 129; Engine 129 became Engine 94 (Engine 94 was originally a reserve engine downtown),
D-113,1921,Mack AC,500 / 0,Engine Co. 57 (12/1921 - 5/2/1922),Engine Co. 113 (5/1/1922 - 12/22/1930),,,,,,First motorized apparatus for Engine 113,
D-114,1917,American LaFrance,750 / 0,Engine Co. 51 (11/1917 - 2/1921),Engine Co. 114 (10/10/1921 - 7/20/1930),Engine Co. 71 (8/22/1931 - 3/17/1938),,,,,First motorized apparatus for Engine 114,
D-115,1916,Ahrens-Fox,750 / 0,Engine Co. 98 ( 11/22/1916 - 11/18/1921),Engine Co. 115 (12/1/1921 - 9/1/1932),Engine Co. 70 (10/17/1932 - 3/30/1938),Engine Co. 82 (5/27/1949 - 2/20/1951),,,,First motorized apparatus for Engine 115,
D-116,1922,Seagrave,750 / 0,Engine Co. 116 (10/1922 - 6/21/1954),,,,,,,First motorized apparatus for Engine 116,
D-117,1918,White/Pirsch/CFD,500_/_200,Engine Co. 117 (1/1919 - 2/10/1923),Engine Co. 125 (3/4/1925 - 1/2/1932),Booster 1 (6 - 4 - 2) (1932 - 12/12/1941),Booster 2 (6 - 4 - 1) (12/12/1941 - 9/21/1946),,,,First motorized apparatus for Engine 117; renumbered from Booster 1 to Booster 2; Booster 1/2 responded to prairie fires; Booster 1 OOS 6/23/1941?,
D-118,1915,White/CFD,Chemical,Truck Co. 26 (10/1915 - 10/1918),Truck Co. 28,Engine Co. 118 (3/1922 - 10/1/1925),"Foamite 1 (4 - 1 - 1, later 6 - 3 - 1) (2/11/1928 - 8/5/1937)",,,,"First motorized apparatus for Engine 118; Former truck tractor converted at shops in early 1922 to combined chemical and hose wagon & given two 60 gallon chemical tanks, 250 feet of one inch hose, and 500 feet of two and one-half inch hose; Foamite 1 call sign changed from 4 - 1 - 1 to 6 - 3 - 1 on 12/16/1928 (4 - 1 - 1 series then went to rescue companies)",
D-119,1918,White/Pirsch,500 / 0,Engine Co. 2 (12/1918 - 3/1919),Engine Co. 79 (4/11/1919 - 4/25/1921),Engine Co. 70 (4/30/1921 - 6/20/1922),Engine Co. 112 (6/20/1922? - 5/18/1923),Engine Co. 119 (6/20/1922 - 10/11/1930),Engine Co. 92 (10/11/1930 - 6/7/1949),,*Conflict; First motorized apparatus for Engine 79; First motorized apparatus for Engine 112; delivered with hard rubber tires,
D-120,1917,American LaFrance,750 / 0,Engine Co. 107 (11/1917 - 12/1921),Engine Co. 120 (3/4/1922 - 5/1/1923),Engine Co. 110 (4/1/1925 - 2/23/1929),,,,,,
D-121,1917_/_1906,Christie/Nott,700 / 0,Engine Co. 121 (6/1917 - 6/1923),,,,,,,First non-hose wagon apparatus for Engine 121; coal-fed steamer engine (1906) with motorized front-drive tractor,
D-122,1919,Mack AC,500 / 0,Engine Co. 38 (11/22/1919 - 12/30/1921),Engine Co. 122 (2/19/1922 - 3/26/1923),Engine Co. 118 (10/1/1925 - 1/10/1929),Light Wagon 1 (5/4/1929 - 12/14/1929),Light Wagon 3 (12/14/1929 - 12/11/1957*),Light Wagon 5 (12/11/1957 - 1/29/1961),,Converted by CFD shops in 1929; first apparatus for Light Wagon 3; *alternate end date for Light Wagon 3 is 6/26/1957,Engine 38 (CAPCO)
